path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
serangoon_north_avenue_5,1,Serangoon North Avenue 5_Cam4_20260101_075220_790_C.jpeg,,11.912,5.956,6.0,9.942,,
serangoon_north_avenue_5,2,Serangoon North Avenue 5_Cam4_20260101_075226_196_C.jpeg,,23.593,17.752,18.0,9.581,,
serangoon_north_avenue_5,3,Serangoon North Avenue 5_Cam4_20260101_075231_000_C.jpeg,,34.777,29.185,30.0,10.227,,
serangoon_north_avenue_5,4,Serangoon North Avenue 5_Cam4_20260101_075235_204_C.jpeg,,56.662,45.72,46.0,10.776,,
serangoon_north_avenue_5,5,Serangoon North Avenue 5_Cam4_20260101_075244_816_C.jpeg,,67.05,61.856,62.0,9.218,,
serangoon_north_avenue_5,6,Serangoon North Avenue 5_Cam4_20260101_075334_686_C.jpeg,,78.507,72.778,72.0,8.874,,
serangoon_north_avenue_5,7,Serangoon North Avenue 5_Cam4_20260101_075346_576_C.jpeg,,89.72,84.114,84.0,9.386,,
serangoon_north_avenue_5,8,Serangoon North Avenue 5_Cam4_20260101_075350_782_C.jpeg,,111.912,100.816,100.0,10.517,,
serangoon_north_avenue_5,9,Serangoon North Avenue 5_Cam4_20260101_075359_190_C.jpeg,,123.847,117.88,118.0,9.601,,
serangoon_north_avenue_5,10,Serangoon North Avenue 5_Cam4_20260101_075403_394_C.jpeg,,130.685,127.266,128.0,9.883,,
serangoon_north_avenue_5,11,Serangoon North Avenue 5_Cam4_20260101_075405_797_C.jpeg,,157.096,143.891,144.0,9.254,-9.219,2.0
serangoon_north_avenue_5,12,Serangoon North Avenue 5_Cam4_20260101_075415_408_C.jpeg,,168.598,162.847,162.0,8.879,,
serangoon_north_avenue_5,13,Serangoon North Avenue 5_Cam4_20260101_075419_612_C.jpeg,,179.387,173.992,174.0,8.912,,
serangoon_north_avenue_5,14,Serangoon North Avenue 5_Cam4_20260101_075424_416_C.jpeg,,189.632,184.51,184.0,8.945,0.208,1.0
serangoon_north_avenue_5,15,Serangoon North Avenue 5_Cam4_20260101_075429_221_C.jpeg,,212.804,201.218,202.0,9.791,,
serangoon_north_avenue_5,16,Serangoon North Avenue 5_Cam4_20260101_075437_631_C.jpeg,,224.16,218.482,218.0,9.285,,
serangoon_north_avenue_5,17,Serangoon North Avenue 5_Cam4_20260101_075441_837_C.jpeg,,235.605,229.882,230.0,9.566,,
serangoon_north_avenue_5,18,Serangoon North Avenue 5_Cam4_20260101_075446_039_C.jpeg,,245.57,240.587,240.0,9.179,-0.521,1.0
serangoon_north_avenue_5,19,Serangoon North Avenue 5_Cam4_20260101_075449_643_C.jpeg,,268.744,257.157,258.0,9.204,0.417,1.0
serangoon_north_avenue_5,20,Serangoon North Avenue 5_Cam4_20260101_075458_054_C.jpeg,,278.894,273.819,274.0,9.257,,
serangoon_north_avenue_5,21,Serangoon North Avenue 5_Cam4_20260101_075501_532_C.jpeg,,290.264,284.579,284.0,9.245,0.139,1.0
serangoon_north_avenue_5,22,Serangoon North Avenue 5_Cam4_20260101_075505_737_C.jpeg,,301.767,296.015,296.0,9.245,-0.208,1.0
serangoon_north_avenue_5,23,Serangoon North Avenue 5_Cam4_20260101_075510_424_C.jpeg,,308.115,304.941,304.0,9.262,0.208,1.0
serangoon_north_avenue_5,24,Serangoon North Avenue 5_Cam4_20260101_075512_826_C.jpeg,,317.687,312.901,312.0,9.262,0.208,1.0
serangoon_north_avenue_5,25,Serangoon North Avenue 5_Cam4_20260101_075516_430_C.jpeg,,327.89,322.789,322.0,9.312,,
serangoon_north_avenue_5,26,Serangoon North Avenue 5_Cam4_20260101_075520_635_C.jpeg,,336.999,332.445,332.0,9.919,,
serangoon_north_avenue_5,27,Serangoon North Avenue 5_Cam4_20260101_075524_240_C.jpeg,,346.858,341.928,342.0,11.448,,
serangoon_north_avenue_5,28,Serangoon North Avenue 5_Cam4_20260101_075527_718_C.jpeg,,358.044,352.451,352.0,12.385,,
serangoon_north_avenue_5,29,Serangoon North Avenue 5_Cam4_20260101_075531_922_C.jpeg,,369.408,363.726,364.0,12.719,,
serangoon_north_avenue_5,30,Serangoon North Avenue 5_Cam4_20260101_075536_128_C.jpeg,,379.678,374.543,374.0,13.657,,
serangoon_north_avenue_5,31,Serangoon North Avenue 5_Cam4_20260101_075539_731_C.jpeg,,390.812,385.245,386.0,12.779,,
serangoon_north_avenue_5,32,Serangoon North Avenue 5_Cam4_20260101_075543_937_C.jpeg,,426.797,408.805,,,,
serangoon_north_avenue_5,33,Serangoon North Avenue 5_Cam4_20260101_075558_353_C.jpeg,,438.195,432.496,,,,
serangoon_north_avenue_5,34,Serangoon North Avenue 5_Cam4_20260101_075601_956_C.jpeg,,448.12,443.157,,,,
serangoon_north_avenue_5,35,Serangoon North Avenue 5_Cam4_20260101_075605_559_C.jpeg,,458.461,453.29,,,,
serangoon_north_avenue_5,36,Serangoon North Avenue 5_Cam4_20260101_075657_813_C.jpeg,,538.158,498.309,,,,
serangoon_north_avenue_5,37,Serangoon North Avenue 5_Cam4_20260101_080030_231_C.jpeg,,548.807,543.483,544.0,11.941,,
serangoon_north_avenue_5,38,Serangoon North Avenue 5_Cam4_20260101_080033_840_C.jpeg,,561.071,554.939,554.0,11.426,,
serangoon_north_avenue_5,39,Serangoon North Avenue 5_Cam4_20260101_080038_044_C.jpeg,,567.679,564.375,564.0,11.674,4.31,1.0
serangoon_north_avenue_5,40,Serangoon North Avenue 5_Cam4_20260101_080040_446_C.jpeg,,594.222,580.95,580.0,11.914,,
serangoon_north_avenue_5,41,Serangoon North Avenue 5_Cam4_20260101_080050_054_C.jpeg,,605.672,599.947,600.0,12.142,,
serangoon_north_avenue_5,42,Serangoon North Avenue 5_Cam4_20260101_080054_259_C.jpeg,,616.027,610.85,610.0,11.518,,
serangoon_north_avenue_5,43,Serangoon North Avenue 5_Cam4_20260101_080057_864_C.jpeg,,627.219,621.623,622.0,12.707,,
serangoon_north_avenue_5,44,Serangoon North Avenue 5_Cam4_20260101_080102_069_C.jpeg,,649.586,638.402,638.0,11.002,,
serangoon_north_avenue_5,45,Serangoon North Avenue 5_Cam4_20260101_080111_079_C.jpeg,,677.465,663.525,664.0,9.829,,
serangoon_north_avenue_5,46,Serangoon North Avenue 5_Cam4_20260101_095722_320_C.jpeg,,700.614,689.039,690.0,10.616,,
serangoon_north_avenue_5,47,Serangoon North Avenue 5_Cam4_20260101_095730_134_C.jpeg,,711.082,705.848,706.0,11.545,,
serangoon_north_avenue_5,48,Serangoon North Avenue 5_Cam4_20260101_095734_941_C.jpeg,,722.349,716.715,716.0,10.94,,
serangoon_north_avenue_5,49,Serangoon North Avenue 5_Cam4_20260101_095748_187_C.jpeg,,733.643,727.996,728.0,11.898,,
serangoon_north_avenue_5,50,Serangoon North Avenue 5_Cam4_20260101_095751_796_C.jpeg,,756.179,744.911,744.0,11.849,,
serangoon_north_avenue_5,51,Serangoon North Avenue 5_Cam4_20260101_095759_007_C.jpeg,,767.879,762.029,762.0,12.513,3.125,1.0
serangoon_north_avenue_5,52,Serangoon North Avenue 5_Cam4_20260101_095802_611_C.jpeg,,778.719,773.299,774.0,12.538,,
serangoon_north_avenue_5,53,Serangoon North Avenue 5_Cam4_20260101_095806_215_C.jpeg,,785.309,782.014,782.0,11.392,,
serangoon_north_avenue_5,54,Serangoon North Avenue 5_Cam4_20260101_095808_618_C.jpeg,,796.304,790.806,790.0,10.272,,
serangoon_north_avenue_5,55,Serangoon North Avenue 5_Cam4_20260101_095812_822_C.jpeg,,805.752,801.028,802.0,10.738,,
serangoon_north_avenue_5,56,Serangoon North Avenue 5_Cam4_20260101_095816_431_C.jpeg,,846.621,826.187,,,,
serangoon_north_avenue_5,57,Serangoon North Avenue 5_Cam4_20260101_101355_381_C.jpeg,,857.411,852.016,852.0,12.373,,
