path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
stokesay_drive,Stokesay Drive,0.0,31365.438,38434.47,17.815,17.815,17.815,,,STOKESAY DRIVE,4.777
stokesay_drive,Stokesay Drive,2.0,31366.81,38435.925,17.808,17.808,17.885,,,STOKESAY DRIVE,4.749
stokesay_drive,Stokesay Drive,4.0,31368.183,38437.38,20.231,17.955,17.955,,,STOKESAY DRIVE,4.72
stokesay_drive,Stokesay Drive,6.0,31369.555,38438.836,19.486,18.103,18.103,,,STOKESAY DRIVE,4.691
stokesay_drive,Stokesay Drive,8.0,31370.927,38440.291,17.557,18.25,18.25,,,STOKESAY DRIVE,4.662
stokesay_drive,Stokesay Drive,10.0,31372.299,38441.746,18.534,18.398,18.25,,,STOKESAY DRIVE,4.634
stokesay_drive,Stokesay Drive,12.0,31373.671,38443.201,18.546,18.269,18.25,,,STOKESAY DRIVE,4.605
stokesay_drive,Stokesay Drive,14.0,31375.044,38444.656,18.484,18.14,18.14,,,STOKESAY DRIVE,4.576
stokesay_drive,Stokesay Drive,16.0,31376.393,38446.132,17.735,17.929,17.929,,,STOKESAY DRIVE,4.579
stokesay_drive,Stokesay Drive,18.0,31377.721,38447.627,17.718,17.64,17.64,,,STOKESAY DRIVE,4.61
stokesay_drive,Stokesay Drive,20.0,31379.049,38449.123,18.002,17.342,17.342,,,STOKESAY DRIVE,4.641
stokesay_drive,Stokesay Drive,22.0,31380.377,38450.618,17.902,17.044,17.044,,,STOKESAY DRIVE,4.672
stokesay_drive,Stokesay Drive,24.0,31381.705,38452.113,16.378,16.784,16.784,,,STOKESAY DRIVE,4.703
stokesay_drive,Stokesay Drive,26.0,31383.033,38453.609,16.25,16.524,16.524,,,STOKESAY DRIVE,4.734
stokesay_drive,Stokesay Drive,28.0,31384.361,38455.104,16.123,16.264,16.264,,,STOKESAY DRIVE,4.765
stokesay_drive,Stokesay Drive,30.0,31385.689,38456.599,16.004,16.004,16.004,,,STOKESAY DRIVE,4.796
stokesay_drive,Stokesay Drive,32.0,31387.017,38458.095,15.804,15.804,15.804,,,STOKESAY DRIVE,4.827
stokesay_drive,Stokesay Drive,34.0,31388.346,38459.59,15.634,15.634,15.641,,,STOKESAY DRIVE,4.858
stokesay_drive,Stokesay Drive,36.0,31389.674,38461.086,16.384,15.638,15.641,-2.085,1.0,STOKESAY DRIVE,4.889
stokesay_drive,Stokesay Drive,38.0,31391.002,38462.581,15.68,15.641,15.638,-1.448,1.0,STOKESAY DRIVE,4.92
stokesay_drive,Stokesay Drive,40.0,31392.33,38464.076,15.645,15.645,15.638,,,STOKESAY DRIVE,4.951
stokesay_drive,Stokesay Drive,42.0,31393.658,38465.572,15.526,15.526,15.526,,,STOKESAY DRIVE,4.982
stokesay_drive,Stokesay Drive,44.0,31395.005,38467.05,15.977,15.48,15.48,-3.127,1.0,STOKESAY DRIVE,4.988
stokesay_drive,Stokesay Drive,46.0,31396.381,38468.501,16.244,15.434,15.434,-2.191,1.0,STOKESAY DRIVE,4.953
stokesay_drive,Stokesay Drive,48.0,31397.758,38469.952,15.388,15.388,15.388,,,STOKESAY DRIVE,4.919
stokesay_drive,Stokesay Drive,50.0,31399.134,38471.403,15.35,15.35,15.35,,,STOKESAY DRIVE,4.884
stokesay_drive,Stokesay Drive,52.0,31400.51,38472.854,15.166,15.166,15.166,,,STOKESAY DRIVE,4.85
stokesay_drive,Stokesay Drive,54.0,31401.886,38474.306,14.845,15.038,15.038,-7.101,1.0,STOKESAY DRIVE,4.816
stokesay_drive,Stokesay Drive,56.0,31403.262,38475.757,15.122,14.91,14.91,-5.123,1.0,STOKESAY DRIVE,4.782
stokesay_drive,Stokesay Drive,58.0,31404.638,38477.209,14.782,14.782,14.782,,,STOKESAY DRIVE,4.748
stokesay_drive,Stokesay Drive,60.0,31405.977,38478.693,14.667,14.667,14.756,,,STOKESAY DRIVE,4.764
stokesay_drive,Stokesay Drive,62.0,31407.3,38480.193,14.355,14.711,14.756,-0.885,1.0,STOKESAY DRIVE,4.802
stokesay_drive,Stokesay Drive,64.0,31408.623,38481.693,15.033,14.756,14.711,-1.308,1.0,STOKESAY DRIVE,4.839
stokesay_drive,Stokesay Drive,66.0,31409.946,38483.193,14.8,14.8,14.711,,,STOKESAY DRIVE,4.877
stokesay_drive,Stokesay Drive,68.0,31411.269,38484.693,14.651,14.651,14.651,,,STOKESAY DRIVE,4.915
stokesay_drive,Stokesay Drive,70.0,31412.605,38486.182,14.406,14.406,14.406,,,STOKESAY DRIVE,4.936
stokesay_drive,Stokesay Drive,72.0,31413.951,38487.661,13.811,14.216,14.216,,,STOKESAY DRIVE,4.943
stokesay_drive,Stokesay Drive,74.0,31415.298,38489.14,15.314,14.026,14.026,,,STOKESAY DRIVE,4.949
stokesay_drive,Stokesay Drive,76.0,31416.644,38490.619,13.45,13.836,13.836,,,STOKESAY DRIVE,4.956
stokesay_drive,Stokesay Drive,78.0,31417.99,38492.097,14.066,13.646,13.646,,,STOKESAY DRIVE,4.962
