path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
stratton_drive,1,Stratton Drive_Cam4_20260101_094542_429_B.jpeg,,11.6,5.8,6.0,21.738,,
stratton_drive,2,Stratton Drive_Cam4_20260101_094546_634_B.jpeg,,20.063,15.831,16.0,22.418,,
stratton_drive,3,Stratton Drive_Cam4_20260101_094549_659_B.jpeg,,30.043,25.053,26.0,22.71,,
stratton_drive,4,Stratton Drive_Cam4_20260101_094553_900_B.jpeg,,43.094,36.568,36.0,22.143,,
stratton_drive,5,Stratton Drive_Cam4_20260101_094559_330_B.jpeg,,50.277,46.686,46.0,22.706,,
stratton_drive,6,Stratton Drive_Cam4_20260101_094601_771_B.jpeg,,60.574,55.426,56.0,23.591,,
stratton_drive,7,Stratton Drive_Cam4_20260101_094604_773_B.jpeg,,69.734,65.154,66.0,23.482,,
stratton_drive,8,Stratton Drive_Cam4_20260101_094607_211_B.jpeg,,81.468,75.601,76.0,21.779,,
stratton_drive,9,Stratton Drive_Cam4_20260101_094610_216_B.jpeg,,91.53,86.499,86.0,20.668,-1.25,1.0
stratton_drive,10,Stratton Drive_Cam4_20260101_094612_619_B.jpeg,,102.123,96.826,96.0,20.832,,
stratton_drive,11,Stratton Drive_Cam4_20260101_094615_021_B.jpeg,,109.761,105.942,106.0,20.458,,
stratton_drive,12,Stratton Drive_Cam4_20260101_094616_822_B.jpeg,,120.332,115.047,116.0,20.224,-0.625,1.0
stratton_drive,13,Stratton Drive_Cam4_20260101_094619_306_B.jpeg,,130.072,125.202,126.0,20.224,0.0,1.0
stratton_drive,14,Stratton Drive_Cam4_20260101_094621_708_B.jpeg,,140.735,135.404,136.0,20.274,0.312,1.0
stratton_drive,15,Stratton Drive_Cam4_20260101_094624_766_B.jpeg,,150.472,145.604,146.0,20.299,0.312,1.0
stratton_drive,16,Stratton Drive_Cam4_20260101_094627_846_B.jpeg,,161.062,155.767,156.0,20.586,,
stratton_drive,17,Stratton Drive_Cam4_20260101_094631_549_B.jpeg,,173.467,167.264,168.0,20.724,4.063,1.0
stratton_drive,18,Stratton Drive_Cam4_20260101_094635_788_B.jpeg,,180.799,177.133,178.0,20.799,3.142,1.0
stratton_drive,19,Stratton Drive_Cam4_20260101_094638_190_B.jpeg,,190.811,185.805,186.0,20.777,-6.823,1.0
stratton_drive,20,Stratton Drive_Cam4_20260101_094641_254_B.jpeg,,200.742,195.777,196.0,20.43,0.0,1.0
stratton_drive,21,Stratton Drive_Cam4_20260101_094644_262_B.jpeg,,209.781,205.262,206.0,20.48,0.625,1.0
stratton_drive,22,Stratton Drive_Cam4_20260101_094647_265_B.jpeg,,219.672,214.726,214.0,20.53,0.625,1.0
stratton_drive,23,Stratton Drive_Cam4_20260101_094650_370_B.jpeg,,232.323,225.997,226.0,20.58,,
stratton_drive,24,Stratton Drive_Cam4_20260101_094654_013_B.jpeg,,240.141,236.232,236.0,21.184,,
stratton_drive,25,Stratton Drive_Cam4_20260101_094656_467_B.jpeg,,253.394,246.767,246.0,21.925,,
stratton_drive,26,Stratton Drive_Cam4_20260101_094700_736_B.jpeg,,259.651,256.522,256.0,21.739,,
stratton_drive,27,Stratton Drive_Cam4_20260101_094702_543_B.jpeg,,286.105,272.878,272.0,20.809,,
stratton_drive,28,Stratton Drive_Cam4_20260101_094710_953_B.jpeg,,298.39,292.247,292.0,20.784,0.0,1.0
stratton_drive,29,Stratton Drive_Cam4_20260101_094715_162_B.jpeg,,306.572,302.481,302.0,20.8,0.206,1.0
stratton_drive,30,Stratton Drive_Cam4_20260101_094718_165_B.jpeg,,622.529,464.55,464.0,21.11,,
stratton_drive,31,Stratton Drive_Cam4_20260106_101625_489_C.jpeg,,631.834,627.181,,,,
stratton_drive,32,Stratton Drive_Cam4_20260106_101628_493_C.jpeg,,642.886,637.36,,,,
