path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
sundridge_park_road,Sundridge Park Road,0.0,31434.909,36785.289,9.46,9.46,9.661,,,SUNDRIDGE PARK ROAD,3.435
sundridge_park_road,Sundridge Park Road,2.0,31435.316,36783.331,9.661,9.661,9.813,,,SUNDRIDGE PARK ROAD,3.257
sundridge_park_road,Sundridge Park Road,4.0,31435.723,36781.373,9.862,9.965,9.965,,,SUNDRIDGE PARK ROAD,3.08
sundridge_park_road,Sundridge Park Road,6.0,31436.129,36779.415,10.08,10.269,10.269,,,SUNDRIDGE PARK ROAD,2.902
sundridge_park_road,Sundridge Park Road,8.0,31436.536,36777.457,10.297,10.703,10.703,,,SUNDRIDGE PARK ROAD,2.725
sundridge_park_road,Sundridge Park Road,10.0,31436.943,36775.498,10.505,11.136,11.136,,,SUNDRIDGE PARK ROAD,2.547
sundridge_park_road,Sundridge Park Road,12.0,31437.35,36773.54,10.72,11.57,11.57,,,SUNDRIDGE PARK ROAD,2.37
sundridge_park_road,Sundridge Park Road,14.0,31437.593,36771.556,10.933,,12.003,,,SUNDRIDGE PARK ROAD,2.358
sundridge_park_road,Sundridge Park Road,16.0,31437.802,36769.567,15.992,12.437,12.437,,,SUNDRIDGE PARK ROAD,2.381
sundridge_park_road,Sundridge Park Road,18.0,31438.011,36767.578,15.935,12.87,12.87,,,SUNDRIDGE PARK ROAD,2.403
sundridge_park_road,Sundridge Park Road,20.0,31438.22,36765.589,11.442,13.304,13.304,,,SUNDRIDGE PARK ROAD,2.426
sundridge_park_road,Sundridge Park Road,22.0,31438.429,36763.6,16.894,13.737,13.431,,,SUNDRIDGE PARK ROAD,2.448
sundridge_park_road,Sundridge Park Road,24.0,31438.663,36761.614,17.014,13.584,13.431,,,SUNDRIDGE PARK ROAD,2.445
sundridge_park_road,Sundridge Park Road,26.0,31438.941,36759.634,13.156,13.431,13.431,,,SUNDRIDGE PARK ROAD,2.398
sundridge_park_road,Sundridge Park Road,28.0,31439.22,36757.653,13.265,13.278,13.381,,,SUNDRIDGE PARK ROAD,2.35
sundridge_park_road,Sundridge Park Road,30.0,31439.498,36755.673,12.881,13.125,13.381,,,SUNDRIDGE PARK ROAD,2.303
sundridge_park_road,Sundridge Park Road,32.0,31439.776,36753.692,12.984,13.381,13.381,,,SUNDRIDGE PARK ROAD,2.256
sundridge_park_road,Sundridge Park Road,34.0,31440.055,36751.712,13.087,13.637,13.637,,,SUNDRIDGE PARK ROAD,2.208
sundridge_park_road,Sundridge Park Road,36.0,31440.333,36749.731,13.894,13.894,13.894,,,SUNDRIDGE PARK ROAD,2.161
sundridge_park_road,Sundridge Park Road,38.0,31440.611,36747.751,14.125,14.125,14.125,,,SUNDRIDGE PARK ROAD,2.114
sundridge_park_road,Sundridge Park Road,40.0,31440.89,36745.77,14.479,14.147,14.147,3.719,1.0,SUNDRIDGE PARK ROAD,2.067
sundridge_park_road,Sundridge Park Road,42.0,31441.168,36743.789,13.967,14.169,14.169,3.553,1.0,SUNDRIDGE PARK ROAD,2.019
sundridge_park_road,Sundridge Park Road,44.0,31441.446,36741.809,14.191,14.191,14.191,,,SUNDRIDGE PARK ROAD,1.972
sundridge_park_road,Sundridge Park Road,46.0,31441.724,36739.828,14.409,14.409,14.409,,,SUNDRIDGE PARK ROAD,1.925
sundridge_park_road,Sundridge Park Road,48.0,31442.003,36737.848,14.597,14.597,14.597,10.187,2.0,SUNDRIDGE PARK ROAD,1.877
sundridge_park_road,Sundridge Park Road,50.0,31442.281,36735.867,14.802,14.802,14.802,10.037,2.0,SUNDRIDGE PARK ROAD,1.83
sundridge_park_road,Sundridge Park Road,52.0,31442.559,36733.887,15.006,15.006,15.006,9.925,2.0,SUNDRIDGE PARK ROAD,1.783
sundridge_park_road,Sundridge Park Road,54.0,31442.838,36731.906,15.212,15.212,15.212,9.35,2.0,SUNDRIDGE PARK ROAD,1.735
sundridge_park_road,Sundridge Park Road,56.0,31443.116,36729.926,15.391,15.391,15.391,8.838,2.0,SUNDRIDGE PARK ROAD,1.688
sundridge_park_road,Sundridge Park Road,58.0,31443.394,36727.945,15.55,15.55,15.55,8.513,1.0,SUNDRIDGE PARK ROAD,1.641
sundridge_park_road,Sundridge Park Road,60.0,31443.673,36725.965,15.713,15.713,15.713,8.494,1.0,SUNDRIDGE PARK ROAD,1.593
sundridge_park_road,Sundridge Park Road,62.0,31443.951,36723.984,15.893,15.893,15.893,8.562,1.0,SUNDRIDGE PARK ROAD,1.546
sundridge_park_road,Sundridge Park Road,64.0,31444.229,36722.004,16.071,16.071,16.071,8.65,1.0,SUNDRIDGE PARK ROAD,1.499
