path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
sunshine_terrace,Sunshine Terrace,2.0,32323.365,36444.742,23.769,25.855,25.855,2.487,1.0,SUNSHINE TERRACE,5.086
sunshine_terrace,Sunshine Terrace,4.0,32325.319,36445.168,25.855,25.855,25.905,1.658,1.0,SUNSHINE TERRACE,4.127
sunshine_terrace,Sunshine Terrace,6.0,32327.273,36445.594,25.955,25.955,25.955,1.244,1.0,SUNSHINE TERRACE,3.168
sunshine_terrace,Sunshine Terrace,8.0,32329.228,36446.02,26.237,26.237,25.955,-0.927,1.0,SUNSHINE TERRACE,2.21
sunshine_terrace,Sunshine Terrace,10.0,32331.182,36446.445,26.014,26.014,25.955,,,SUNSHINE TERRACE,1.251
sunshine_terrace,Sunshine Terrace,12.0,32333.136,36446.871,25.831,25.831,25.831,,,SUNSHINE TERRACE,0.293
sunshine_terrace,Sunshine Terrace,14.0,32335.095,36446.735,28.307,25.591,25.591,,,SUNSHINE TERRACE,0.129
sunshine_terrace,Sunshine Terrace,16.0,32337.056,36446.343,28.259,25.245,25.245,,,SUNSHINE TERRACE,0.304
sunshine_terrace,Sunshine Terrace,18.0,32339.017,36445.951,26.558,24.899,24.899,,,SUNSHINE TERRACE,0.48
sunshine_terrace,Sunshine Terrace,20.0,32340.978,36445.559,29.212,24.477,24.477,,,SUNSHINE TERRACE,0.656
sunshine_terrace,Sunshine Terrace,22.0,32342.939,36445.166,22.695,24.056,24.056,,,SUNSHINE TERRACE,0.831
sunshine_terrace,Sunshine Terrace,24.0,32344.901,36444.774,22.507,23.634,23.634,,,SUNSHINE TERRACE,1.007
sunshine_terrace,Sunshine Terrace,26.0,32346.859,36444.369,22.581,23.212,23.212,,,SUNSHINE TERRACE,1.17
sunshine_terrace,Sunshine Terrace,28.0,32348.816,36443.958,22.442,22.79,22.79,,,SUNSHINE TERRACE,1.326
sunshine_terrace,Sunshine Terrace,30.0,32350.774,36443.547,22.052,22.368,22.368,,,SUNSHINE TERRACE,1.483
sunshine_terrace,Sunshine Terrace,32.0,32352.731,36443.135,21.946,21.946,21.955,,,SUNSHINE TERRACE,1.639
sunshine_terrace,Sunshine Terrace,34.0,32354.688,36442.724,21.955,21.955,21.946,,,SUNSHINE TERRACE,1.796
sunshine_terrace,Sunshine Terrace,36.0,32356.656,36442.369,23.215,21.861,21.861,-3.55,1.0,SUNSHINE TERRACE,1.936
sunshine_terrace,Sunshine Terrace,38.0,32358.625,36442.018,23.233,21.766,21.766,-4.105,1.0,SUNSHINE TERRACE,1.989
sunshine_terrace,Sunshine Terrace,40.0,32360.594,36441.667,21.671,21.671,21.671,,,SUNSHINE TERRACE,2.041
sunshine_terrace,Sunshine Terrace,42.0,32362.563,36441.316,21.618,21.618,21.618,,,SUNSHINE TERRACE,2.094
sunshine_terrace,Sunshine Terrace,44.0,32364.526,36440.932,21.405,21.405,21.405,,,SUNSHINE TERRACE,2.113
sunshine_terrace,Sunshine Terrace,46.0,32366.487,36440.54,22.153,21.353,21.353,,,SUNSHINE TERRACE,2.123
sunshine_terrace,Sunshine Terrace,48.0,32368.448,36440.147,21.054,21.076,21.076,,,SUNSHINE TERRACE,2.134
sunshine_terrace,Sunshine Terrace,110.0,32421.151,36421.665,22.363,20.799,20.799,,,SUNSHINE TERRACE,12.499
sunshine_terrace,Sunshine Terrace,112.0,32422.191,36419.956,22.198,20.362,20.362,,,SUNSHINE TERRACE,11.293
sunshine_terrace,Sunshine Terrace,114.0,32423.231,36418.248,22.158,19.924,19.924,,,SUNSHINE TERRACE,10.088
sunshine_terrace,Sunshine Terrace,116.0,32424.271,36416.54,18.587,19.486,19.486,,,SUNSHINE TERRACE,8.882
sunshine_terrace,Sunshine Terrace,118.0,32425.311,36414.831,18.554,19.048,19.048,,,SUNSHINE TERRACE,7.676
sunshine_terrace,Sunshine Terrace,120.0,32426.351,36413.123,18.295,18.61,18.61,,,SUNSHINE TERRACE,6.47
sunshine_terrace,Sunshine Terrace,122.0,32427.39,36411.414,18.172,18.172,18.61,,,SUNSHINE TERRACE,5.265
sunshine_terrace,Sunshine Terrace,124.0,32428.43,36409.706,18.441,18.441,18.61,,,SUNSHINE TERRACE,4.059
sunshine_terrace,Sunshine Terrace,126.0,32429.89,36408.6,18.645,18.645,18.645,0.442,1.0,SUNSHINE TERRACE,3.213
sunshine_terrace,Sunshine Terrace,128.0,32431.853,36408.217,18.775,18.775,18.645,,,SUNSHINE TERRACE,3.121
sunshine_terrace,Sunshine Terrace,130.0,32433.816,36407.833,18.69,18.69,18.645,,,SUNSHINE TERRACE,3.029
sunshine_terrace,Sunshine Terrace,132.0,32435.779,36407.449,19.166,18.562,18.562,-4.223,1.0,SUNSHINE TERRACE,2.937
sunshine_terrace,Sunshine Terrace,134.0,32437.741,36407.066,19.007,18.435,18.435,-6.584,1.0,SUNSHINE TERRACE,2.845
sunshine_terrace,Sunshine Terrace,136.0,32439.704,36406.682,18.307,18.307,18.307,,,SUNSHINE TERRACE,2.752
sunshine_terrace,Sunshine Terrace,138.0,32441.667,36406.298,18.118,18.118,18.118,,,SUNSHINE TERRACE,2.66
sunshine_terrace,Sunshine Terrace,140.0,32443.63,36405.914,17.889,17.889,17.889,,,SUNSHINE TERRACE,2.568
sunshine_terrace,Sunshine Terrace,142.0,32445.593,36405.531,17.742,17.742,17.742,,,SUNSHINE TERRACE,2.476
sunshine_terrace,Sunshine Terrace,144.0,32447.556,36405.147,17.662,17.522,17.522,,,SUNSHINE TERRACE,2.383
sunshine_terrace,Sunshine Terrace,146.0,32449.519,36404.763,17.594,17.303,17.303,,,SUNSHINE TERRACE,2.291
sunshine_terrace,Sunshine Terrace,148.0,32451.481,36404.38,17.601,17.043,17.043,,,SUNSHINE TERRACE,2.199
sunshine_terrace,Sunshine Terrace,150.0,32453.444,36403.996,16.584,16.783,16.783,,,SUNSHINE TERRACE,2.107
sunshine_terrace,Sunshine Terrace,152.0,32455.407,36403.612,16.522,16.522,16.522,,,SUNSHINE TERRACE,2.014
sunshine_terrace,Sunshine Terrace,154.0,32457.373,36403.245,16.428,16.428,16.428,,,SUNSHINE TERRACE,1.939
sunshine_terrace,Sunshine Terrace,156.0,32459.342,36402.895,16.274,16.274,16.274,-6.35,1.0,SUNSHINE TERRACE,1.881
sunshine_terrace,Sunshine Terrace,158.0,32461.311,36402.545,16.133,16.133,16.133,-6.438,1.0,SUNSHINE TERRACE,1.822
sunshine_terrace,Sunshine Terrace,160.0,32463.28,36402.195,16.015,16.015,16.015,-5.806,1.0,SUNSHINE TERRACE,1.764
sunshine_terrace,Sunshine Terrace,162.0,32465.249,36401.844,15.912,15.912,15.912,-5.466,1.0,SUNSHINE TERRACE,1.706
sunshine_terrace,Sunshine Terrace,164.0,32467.221,36401.507,15.81,15.81,15.81,-5.406,1.0,SUNSHINE TERRACE,1.661
sunshine_terrace,Sunshine Terrace,166.0,32469.198,36401.206,15.696,15.696,15.696,-5.462,1.0,SUNSHINE TERRACE,1.652
sunshine_terrace,Sunshine Terrace,168.0,32471.175,36400.904,15.582,15.582,15.582,-5.356,1.0,SUNSHINE TERRACE,1.643
sunshine_terrace,Sunshine Terrace,170.0,32473.152,36400.602,15.476,15.476,15.476,-4.972,1.0,SUNSHINE TERRACE,1.634
sunshine_terrace,Sunshine Terrace,172.0,32475.129,36400.301,15.381,15.381,15.381,-4.481,1.0,SUNSHINE TERRACE,1.625
sunshine_terrace,Sunshine Terrace,174.0,32477.106,36399.999,15.298,15.298,15.298,-3.381,1.0,SUNSHINE TERRACE,1.617
sunshine_terrace,Sunshine Terrace,176.0,32479.086,36399.717,15.224,15.224,15.224,-3.885,1.0,SUNSHINE TERRACE,1.627
sunshine_terrace,Sunshine Terrace,178.0,32481.07,36399.466,15.205,15.205,15.205,-2.988,1.0,SUNSHINE TERRACE,1.67
sunshine_terrace,Sunshine Terrace,180.0,32483.055,36399.216,15.07,15.07,15.07,-2.461,1.0,SUNSHINE TERRACE,1.712
sunshine_terrace,Sunshine Terrace,182.0,32485.039,36398.965,15.059,15.059,15.059,-2.679,1.0,SUNSHINE TERRACE,1.755
sunshine_terrace,Sunshine Terrace,184.0,32487.02,36398.693,14.991,14.991,15.027,-3.701,1.0,SUNSHINE TERRACE,1.776
sunshine_terrace,Sunshine Terrace,186.0,32489.001,36398.418,14.76,14.76,14.991,-5.006,1.0,SUNSHINE TERRACE,1.794
sunshine_terrace,Sunshine Terrace,188.0,32490.982,36398.143,17.314,15.027,14.774,-6.311,1.0,SUNSHINE TERRACE,1.812
sunshine_terrace,Sunshine Terrace,190.0,32492.963,36397.868,15.293,14.774,14.76,-6.742,1.0,SUNSHINE TERRACE,1.83
sunshine_terrace,Sunshine Terrace,192.0,32494.944,36397.593,14.522,14.522,14.522,-4.035,1.0,SUNSHINE TERRACE,1.848
sunshine_terrace,Sunshine Terrace,194.0,32496.925,36397.319,16.201,14.451,14.451,-3.134,1.0,SUNSHINE TERRACE,1.866
sunshine_terrace,Sunshine Terrace,196.0,32498.906,36397.044,14.381,14.381,14.451,-2.233,1.0,SUNSHINE TERRACE,1.884
sunshine_terrace,Sunshine Terrace,198.0,32500.887,36396.769,14.343,14.343,14.381,-2.915,1.0,SUNSHINE TERRACE,1.903
sunshine_terrace,Sunshine Terrace,200.0,32502.868,36396.494,14.488,14.488,14.343,-3.596,1.0,SUNSHINE TERRACE,1.921
sunshine_terrace,Sunshine Terrace,202.0,32504.849,36396.219,14.52,14.326,14.326,-3.485,1.0,SUNSHINE TERRACE,1.939
sunshine_terrace,Sunshine Terrace,204.0,32506.83,36395.944,14.164,14.164,14.164,-4.442,1.0,SUNSHINE TERRACE,1.957
sunshine_terrace,Sunshine Terrace,206.0,32508.811,36395.669,14.102,14.102,14.102,,,SUNSHINE TERRACE,1.975
sunshine_terrace,Sunshine Terrace,208.0,32510.793,36395.394,13.988,13.988,13.988,,,SUNSHINE TERRACE,1.993
sunshine_terrace,Sunshine Terrace,210.0,32512.78,36395.205,14.855,13.931,13.988,,,SUNSHINE TERRACE,2.097
sunshine_terrace,Sunshine Terrace,212.0,32514.78,36395.182,13.849,13.874,13.988,,,SUNSHINE TERRACE,2.367
sunshine_terrace,Sunshine Terrace,214.0,32516.78,36395.16,13.817,14.228,14.228,,,SUNSHINE TERRACE,2.638
sunshine_terrace,Sunshine Terrace,216.0,32518.78,36395.138,14.222,14.581,14.581,,,SUNSHINE TERRACE,2.909
sunshine_terrace,Sunshine Terrace,218.0,32520.779,36395.115,13.618,15.316,15.316,,,SUNSHINE TERRACE,3.179
sunshine_terrace,Sunshine Terrace,220.0,32522.62,36395.583,13.632,16.051,16.051,,,SUNSHINE TERRACE,3.911
sunshine_terrace,Sunshine Terrace,222.0,32524.225,36396.776,13.5,16.786,16.786,,,SUNSHINE TERRACE,5.327
sunshine_terrace,Sunshine Terrace,224.0,32525.83,36397.969,15.447,,17.521,,,SUNSHINE TERRACE,6.742
sunshine_terrace,Sunshine Terrace,254.0,32516.923,36412.309,20.821,18.256,18.256,,,SUNSHINE TERRACE,19.623
sunshine_terrace,Sunshine Terrace,256.0,32514.937,36412.549,20.823,18.991,18.991,,,SUNSHINE TERRACE,19.569
sunshine_terrace,Sunshine Terrace,258.0,32512.951,36412.789,24.306,19.726,19.726,,,SUNSHINE TERRACE,19.516
sunshine_terrace,Sunshine Terrace,260.0,32510.966,36413.029,20.462,20.462,20.406,,,SUNSHINE TERRACE,19.463
sunshine_terrace,Sunshine Terrace,262.0,32508.98,36413.269,16.615,20.434,20.406,,,SUNSHINE TERRACE,19.41
sunshine_terrace,Sunshine Terrace,264.0,32506.995,36413.509,16.745,20.406,20.434,,,SUNSHINE TERRACE,19.357
sunshine_terrace,Sunshine Terrace,266.0,32505.009,36413.749,20.378,20.378,20.434,,,SUNSHINE TERRACE,19.304
sunshine_terrace,Sunshine Terrace,268.0,32503.024,36413.989,20.765,20.484,20.484,,,SUNSHINE TERRACE,19.25
sunshine_terrace,Sunshine Terrace,270.0,32501.038,36414.23,20.309,20.589,20.589,4.581,1.0,SUNSHINE TERRACE,19.197
sunshine_terrace,Sunshine Terrace,272.0,32499.053,36414.47,20.908,20.695,20.695,,,SUNSHINE TERRACE,19.144
sunshine_terrace,Sunshine Terrace,274.0,32497.067,36414.71,20.8,20.8,20.8,,,SUNSHINE TERRACE,19.091
sunshine_terrace,Sunshine Terrace,276.0,32495.082,36414.95,20.827,20.827,20.827,,,SUNSHINE TERRACE,19.038
sunshine_terrace,Sunshine Terrace,278.0,32493.096,36415.19,20.52,20.894,20.894,,,SUNSHINE TERRACE,18.984
sunshine_terrace,Sunshine Terrace,280.0,32491.111,36415.43,20.886,20.96,20.96,,,SUNSHINE TERRACE,18.931
sunshine_terrace,Sunshine Terrace,282.0,32489.125,36415.67,18.875,21.026,21.026,,,SUNSHINE TERRACE,18.878
sunshine_terrace,Sunshine Terrace,284.0,32487.139,36415.91,22.345,21.093,21.093,,,SUNSHINE TERRACE,18.825
