path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
sunshine_terrace,1,Sunshine Terrace_Cam4_20260112_103538_733_A.jpeg,,12.627,6.313,6.0,25.955,1.244,1.0
sunshine_terrace,2,Sunshine Terrace_Cam4_20260112_103541_736_A.jpeg,,24.607,18.617,18.0,24.899,,
sunshine_terrace,3,Sunshine Terrace_Cam4_20260112_103544_180_A.jpeg,,34.14,29.373,30.0,22.368,,
sunshine_terrace,4,Sunshine Terrace_Cam4_20260112_103545_982_A.jpeg,,42.402,38.271,38.0,21.766,-4.105,1.0
sunshine_terrace,5,Sunshine Terrace_Cam4_20260112_103547_786_A.jpeg,,50.507,46.454,46.0,21.353,,
sunshine_terrace,6,Sunshine Terrace_Cam4_20260112_103549_587_A.jpeg,,61.347,55.927,,,,
sunshine_terrace,7,Sunshine Terrace_Cam4_20260112_103551_941_A.jpeg,,72.478,66.913,,,,
sunshine_terrace,8,Sunshine Terrace_Cam4_20260112_103554_410_A.jpeg,,81.261,76.87,,,,
sunshine_terrace,9,Sunshine Terrace_Cam4_20260112_103556_242_A.jpeg,,91.312,86.287,,,,
sunshine_terrace,10,Sunshine Terrace_Cam4_20260112_103558_651_A.jpeg,,125.09,108.201,110.0,20.799,,
sunshine_terrace,11,Sunshine Terrace_Cam4_20260112_104046_736_A.jpeg,,153.011,139.05,140.0,17.889,,
sunshine_terrace,12,Sunshine Terrace_Cam4_20260112_104055_922_A.jpeg,,163.463,158.237,158.0,16.133,-6.438,1.0
sunshine_terrace,13,Sunshine Terrace_Cam4_20260112_104058_930_A.jpeg,,175.237,169.35,170.0,15.476,-4.972,1.0
sunshine_terrace,14,Sunshine Terrace_Cam4_20260112_104102_008_A.jpeg,,182.242,178.739,178.0,15.205,-2.988,1.0
sunshine_terrace,15,Sunshine Terrace_Cam4_20260112_104103_809_A.jpeg,,209.325,195.784,196.0,14.451,-2.233,1.0
sunshine_terrace,16,Sunshine Terrace_Cam4_20260112_104111_191_A.jpeg,,219.194,214.26,214.0,14.228,,
sunshine_terrace,17,Sunshine Terrace_Cam4_20260112_104114_198_A.jpeg,,229.44,224.317,224.0,17.521,,
sunshine_terrace,18,Sunshine Terrace_Cam4_20260112_104117_948_A.jpeg,,238.88,234.16,,,,
sunshine_terrace,19,Sunshine Terrace_Cam4_20260112_104120_951_A.jpeg,,361.234,300.057,300.0,22.566,,
sunshine_terrace,20,Sunshine Terrace_Cam4_20260112_105329_710_A.jpeg,,372.768,367.001,,,,
sunshine_terrace,21,Sunshine Terrace_Cam4_20260112_105336_396_A.jpeg,,384.16,378.464,,,,
sunshine_terrace,22,Sunshine Terrace_Cam4_20260112_105343_047_A.jpeg,,390.569,387.365,,,,
sunshine_terrace,23,Sunshine Terrace_Cam4_20260112_105347_256_A.jpeg,,417.889,404.229,404.0,20.909,,
sunshine_terrace,24,Sunshine Terrace_Cam4_20260112_105403_737_A.jpeg,,429.502,423.695,424.0,21.38,,
