path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
tai_hwan_drive,Tai Hwan Drive,0.0,30908.672,37534.972,9.551,9.551,9.624,2.225,1.0,TAI HWAN DRIVE,0.644
tai_hwan_drive,Tai Hwan Drive,2.0,30910.656,37534.722,9.624,9.624,9.669,3.05,1.0,TAI HWAN DRIVE,0.773
tai_hwan_drive,Tai Hwan Drive,4.0,30912.64,37534.472,9.713,9.713,9.713,3.487,1.0,TAI HWAN DRIVE,0.903
tai_hwan_drive,Tai Hwan Drive,6.0,30914.625,37534.222,9.807,9.807,9.807,4.131,1.0,TAI HWAN DRIVE,1.032
tai_hwan_drive,Tai Hwan Drive,8.0,30916.609,37533.971,9.903,9.903,9.903,4.7,1.0,TAI HWAN DRIVE,1.162
tai_hwan_drive,Tai Hwan Drive,10.0,30918.593,37533.721,9.999,9.999,9.999,4.838,1.0,TAI HWAN DRIVE,1.291
tai_hwan_drive,Tai Hwan Drive,12.0,30920.561,37533.379,10.089,10.089,10.089,4.775,1.0,TAI HWAN DRIVE,1.327
tai_hwan_drive,Tai Hwan Drive,14.0,30922.512,37532.939,10.194,10.194,10.194,4.725,1.0,TAI HWAN DRIVE,1.264
tai_hwan_drive,Tai Hwan Drive,16.0,30924.463,37532.499,10.285,10.285,10.285,4.675,1.0,TAI HWAN DRIVE,1.201
tai_hwan_drive,Tai Hwan Drive,18.0,30926.415,37532.059,10.377,10.377,10.377,4.662,1.0,TAI HWAN DRIVE,1.139
tai_hwan_drive,Tai Hwan Drive,20.0,30928.366,37531.62,10.463,10.463,10.463,4.975,1.0,TAI HWAN DRIVE,1.076
tai_hwan_drive,Tai Hwan Drive,22.0,30930.317,37531.18,10.567,10.567,10.567,5.3,1.0,TAI HWAN DRIVE,1.013
tai_hwan_drive,Tai Hwan Drive,24.0,30932.261,37530.715,10.683,10.683,10.683,5.5,1.0,TAI HWAN DRIVE,0.924
tai_hwan_drive,Tai Hwan Drive,26.0,30934.163,37530.098,10.801,10.801,10.801,5.363,1.0,TAI HWAN DRIVE,0.678
tai_hwan_drive,Tai Hwan Drive,28.0,30936.065,37529.48,10.903,10.903,10.903,4.937,1.0,TAI HWAN DRIVE,0.431
tai_hwan_drive,Tai Hwan Drive,30.0,30937.968,37528.863,10.996,10.996,10.996,4.75,1.0,TAI HWAN DRIVE,0.185
tai_hwan_drive,Tai Hwan Drive,32.0,30939.87,37528.245,11.078,11.078,11.078,4.65,1.0,TAI HWAN DRIVE,0.062
tai_hwan_drive,Tai Hwan Drive,34.0,30941.772,37527.628,11.181,11.181,11.181,4.575,1.0,TAI HWAN DRIVE,0.308
tai_hwan_drive,Tai Hwan Drive,36.0,30943.688,37527.054,11.275,11.275,11.275,4.538,1.0,TAI HWAN DRIVE,0.509
tai_hwan_drive,Tai Hwan Drive,38.0,30945.612,37526.509,11.362,11.362,11.362,4.337,1.0,TAI HWAN DRIVE,0.676
tai_hwan_drive,Tai Hwan Drive,40.0,30947.536,37525.963,11.441,11.441,11.441,4.475,1.0,TAI HWAN DRIVE,0.842
tai_hwan_drive,Tai Hwan Drive,42.0,30949.515,37525.764,11.528,11.528,11.528,4.6,1.0,TAI HWAN DRIVE,0.656
tai_hwan_drive,Tai Hwan Drive,44.0,30951.514,37525.685,11.633,11.633,11.633,4.737,1.0,TAI HWAN DRIVE,0.349
tai_hwan_drive,Tai Hwan Drive,46.0,30953.512,37525.606,11.73,11.73,11.73,4.65,1.0,TAI HWAN DRIVE,0.042
tai_hwan_drive,Tai Hwan Drive,48.0,30955.511,37525.527,11.82,11.82,11.82,4.387,1.0,TAI HWAN DRIVE,0.265
tai_hwan_drive,Tai Hwan Drive,50.0,30957.509,37525.448,11.9,11.9,11.9,4.2,1.0,TAI HWAN DRIVE,0.572
tai_hwan_drive,Tai Hwan Drive,52.0,30959.498,37525.306,11.984,11.984,11.984,3.925,1.0,TAI HWAN DRIVE,0.816
tai_hwan_drive,Tai Hwan Drive,54.0,30961.43,37524.788,12.066,12.066,12.066,3.862,1.0,TAI HWAN DRIVE,0.679
tai_hwan_drive,Tai Hwan Drive,56.0,30963.362,37524.27,12.134,12.134,12.134,3.763,1.0,TAI HWAN DRIVE,0.542
tai_hwan_drive,Tai Hwan Drive,58.0,30965.293,37523.751,12.209,12.209,12.209,3.85,1.0,TAI HWAN DRIVE,0.405
tai_hwan_drive,Tai Hwan Drive,60.0,30967.225,37523.233,12.285,12.285,12.285,4.038,1.0,TAI HWAN DRIVE,0.268
tai_hwan_drive,Tai Hwan Drive,62.0,30969.157,37522.715,12.374,12.374,12.374,4.225,1.0,TAI HWAN DRIVE,0.132
tai_hwan_drive,Tai Hwan Drive,64.0,30971.088,37522.197,12.457,12.457,12.457,4.4,1.0,TAI HWAN DRIVE,0.005
tai_hwan_drive,Tai Hwan Drive,66.0,30973.02,37521.679,12.547,12.547,12.547,4.506,1.0,TAI HWAN DRIVE,0.142
tai_hwan_drive,Tai Hwan Drive,68.0,30974.952,37521.16,12.637,12.637,12.637,4.475,1.0,TAI HWAN DRIVE,0.279
tai_hwan_drive,Tai Hwan Drive,70.0,30976.883,37520.642,12.734,12.734,12.734,4.488,1.0,TAI HWAN DRIVE,0.415
tai_hwan_drive,Tai Hwan Drive,72.0,30978.815,37520.124,12.815,12.815,12.815,4.387,1.0,TAI HWAN DRIVE,0.511
tai_hwan_drive,Tai Hwan Drive,74.0,30980.747,37519.606,12.906,12.906,12.906,4.381,1.0,TAI HWAN DRIVE,0.568
tai_hwan_drive,Tai Hwan Drive,76.0,30982.679,37519.088,12.988,12.988,12.988,4.5,1.0,TAI HWAN DRIVE,0.625
tai_hwan_drive,Tai Hwan Drive,78.0,30984.61,37518.57,13.085,13.085,13.085,4.425,1.0,TAI HWAN DRIVE,0.682
tai_hwan_drive,Tai Hwan Drive,80.0,30986.542,37518.051,13.175,13.175,13.175,4.588,1.0,TAI HWAN DRIVE,0.738
tai_hwan_drive,Tai Hwan Drive,82.0,30988.516,37517.745,13.26,13.26,13.26,5.137,1.0,TAI HWAN DRIVE,0.579
tai_hwan_drive,Tai Hwan Drive,84.0,30990.498,37517.474,13.355,13.355,13.355,5.875,1.0,TAI HWAN DRIVE,0.384
tai_hwan_drive,Tai Hwan Drive,86.0,30992.48,37517.203,13.496,13.496,13.496,5.063,1.0,TAI HWAN DRIVE,0.189
tai_hwan_drive,Tai Hwan Drive,88.0,30994.461,37516.931,13.645,13.645,13.645,,,TAI HWAN DRIVE,0.006
tai_hwan_drive,Tai Hwan Drive,90.0,30996.443,37516.66,13.665,13.665,13.665,,,TAI HWAN DRIVE,0.201
tai_hwan_drive,Tai Hwan Drive,92.0,30998.419,37516.359,13.753,13.899,13.899,,,TAI HWAN DRIVE,0.367
tai_hwan_drive,Tai Hwan Drive,94.0,31000.38,37515.967,13.853,14.133,14.133,,,TAI HWAN DRIVE,0.439
tai_hwan_drive,Tai Hwan Drive,96.0,31002.341,37515.574,14.836,14.367,14.367,,,TAI HWAN DRIVE,0.51
tai_hwan_drive,Tai Hwan Drive,98.0,31004.302,37515.181,14.881,14.492,14.492,,,TAI HWAN DRIVE,0.582
tai_hwan_drive,Tai Hwan Drive,100.0,31006.213,37514.592,14.618,14.618,14.618,,,TAI HWAN DRIVE,0.453
tai_hwan_drive,Tai Hwan Drive,102.0,31008.119,37513.987,14.658,14.658,14.658,,,TAI HWAN DRIVE,0.306
tai_hwan_drive,Tai Hwan Drive,104.0,31010.025,37513.382,14.356,14.886,14.886,,,TAI HWAN DRIVE,0.159
tai_hwan_drive,Tai Hwan Drive,106.0,31011.932,37512.777,15.56,15.114,15.114,11.384,2.0,TAI HWAN DRIVE,0.012
tai_hwan_drive,Tai Hwan Drive,108.0,31013.838,37512.173,15.578,15.341,15.341,,,TAI HWAN DRIVE,0.134
tai_hwan_drive,Tai Hwan Drive,110.0,31015.744,37511.568,15.569,15.569,15.569,,,TAI HWAN DRIVE,0.281
tai_hwan_drive,Tai Hwan Drive,112.0,31017.651,37510.963,15.576,15.576,15.576,,,TAI HWAN DRIVE,0.428
tai_hwan_drive,Tai Hwan Drive,114.0,31019.557,37510.358,15.164,15.816,15.816,,,TAI HWAN DRIVE,0.575
tai_hwan_drive,Tai Hwan Drive,116.0,31021.463,37509.753,15.192,16.055,16.055,9.366,2.0,TAI HWAN DRIVE,0.721
tai_hwan_drive,Tai Hwan Drive,118.0,31023.37,37509.148,17.098,16.294,16.294,,,TAI HWAN DRIVE,0.868
tai_hwan_drive,Tai Hwan Drive,120.0,31025.276,37508.543,16.534,16.534,16.325,,,TAI HWAN DRIVE,1.015
tai_hwan_drive,Tai Hwan Drive,122.0,31027.182,37507.938,16.588,16.588,16.325,,,TAI HWAN DRIVE,1.162
tai_hwan_drive,Tai Hwan Drive,124.0,31029.089,37507.333,18.1,16.325,16.325,,,TAI HWAN DRIVE,1.308
tai_hwan_drive,Tai Hwan Drive,126.0,31030.995,37506.728,17.204,16.062,16.062,-7.978,1.0,TAI HWAN DRIVE,1.455
tai_hwan_drive,Tai Hwan Drive,128.0,31032.95,37506.552,15.452,15.8,15.8,,,TAI HWAN DRIVE,1.173
tai_hwan_drive,Tai Hwan Drive,130.0,31034.944,37506.71,15.537,15.537,15.687,,,TAI HWAN DRIVE,0.557
tai_hwan_drive,Tai Hwan Drive,132.0,31036.938,37506.868,15.625,15.625,15.687,,,TAI HWAN DRIVE,0.058
tai_hwan_drive,Tai Hwan Drive,134.0,31038.932,37507.026,15.687,15.687,15.687,0.456,1.0,TAI HWAN DRIVE,0.674
tai_hwan_drive,Tai Hwan Drive,136.0,31040.925,37507.184,15.724,15.724,15.705,0.608,1.0,TAI HWAN DRIVE,1.289
tai_hwan_drive,Tai Hwan Drive,138.0,31042.187,37507.284,15.746,15.746,15.724,0.913,1.0,TAI HWAN DRIVE,1.679
