path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
tai_yuan_heights,Tai Yuan Heights,0.0,31922.267,37946.462,11.53,13.11,13.11,,,TAI YUAN HEIGHTS,3.073
tai_yuan_heights,Tai Yuan Heights,2.0,31924.203,37946.962,11.56,13.11,13.11,,,TAI YUAN HEIGHTS,3.354
tai_yuan_heights,Tai Yuan Heights,4.0,31926.14,37947.461,11.648,13.11,13.11,,,TAI YUAN HEIGHTS,3.635
tai_yuan_heights,Tai Yuan Heights,6.0,31928.076,37947.961,15.419,13.11,13.11,,,TAI YUAN HEIGHTS,3.916
tai_yuan_heights,Tai Yuan Heights,8.0,31930.013,37948.461,14.572,13.136,13.136,,,TAI YUAN HEIGHTS,4.197
tai_yuan_heights,Tai Yuan Heights,10.0,31931.949,37948.961,14.185,13.162,13.162,,,TAI YUAN HEIGHTS,4.478
tai_yuan_heights,Tai Yuan Heights,12.0,31933.585,37949.966,13.811,13.187,13.187,,,TAI YUAN HEIGHTS,5.294
tai_yuan_heights,Tai Yuan Heights,14.0,31934.949,37951.429,13.857,13.213,13.187,,,TAI YUAN HEIGHTS,6.335
tai_yuan_heights,Tai Yuan Heights,16.0,31936.313,37952.891,13.239,13.239,13.187,,,TAI YUAN HEIGHTS,5.324
tai_yuan_heights,Tai Yuan Heights,18.0,31937.677,37954.354,13.201,13.001,13.029,,,TAI YUAN HEIGHTS,4.313
tai_yuan_heights,Tai Yuan Heights,20.0,31939.041,37955.817,12.762,12.762,13.029,,,TAI YUAN HEIGHTS,3.469
tai_yuan_heights,Tai Yuan Heights,22.0,31940.405,37957.28,12.776,13.029,13.029,,,TAI YUAN HEIGHTS,2.686
tai_yuan_heights,Tai Yuan Heights,24.0,31941.854,37958.651,12.534,13.296,13.296,,,TAI YUAN HEIGHTS,1.895
tai_yuan_heights,Tai Yuan Heights,26.0,31943.41,37959.907,12.49,13.481,13.481,,,TAI YUAN HEIGHTS,1.161
tai_yuan_heights,Tai Yuan Heights,28.0,31944.967,37961.163,12.498,13.666,13.666,,,TAI YUAN HEIGHTS,0.427
tai_yuan_heights,Tai Yuan Heights,30.0,31946.524,37962.418,14.577,13.851,13.851,,,TAI YUAN HEIGHTS,0.055
tai_yuan_heights,Tai Yuan Heights,32.0,31948.081,37963.674,14.504,14.035,13.936,,,TAI YUAN HEIGHTS,0.448
