path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
upper_neram_road,1,Upper Neram Road_Cam4_20260106_080459_668_C.jpeg,,12.575,6.288,6.0,15.599,,
upper_neram_road,2,Upper Neram Road_Cam4_20260106_080505_076_C.jpeg,,20.925,16.75,16.0,14.548,,
upper_neram_road,3,Upper Neram Road_Cam4_20260106_080508_081_C.jpeg,,34.118,27.521,28.0,12.179,,
upper_neram_road,4,Upper Neram Road_Cam4_20260106_080513_492_C.jpeg,,40.526,37.322,38.0,11.041,-3.125,1.0
upper_neram_road,5,Upper Neram Road_Cam4_20260106_080516_496_C.jpeg,,50.154,45.34,46.0,10.891,0.0,1.0
upper_neram_road,6,Upper Neram Road_Cam4_20260106_080520_701_C.jpeg,,61.321,55.737,56.0,11.041,-0.078,1.0
upper_neram_road,7,Upper Neram Road_Cam4_20260106_080529_708_C.jpeg,,72.374,66.847,66.0,10.966,-0.313,1.0
upper_neram_road,8,Upper Neram Road_Cam4_20260106_080535_116_C.jpeg,,80.764,76.569,76.0,10.941,,
upper_neram_road,9,Upper Neram Road_Cam4_20260106_080538_719_C.jpeg,,90.241,85.502,86.0,10.941,,
upper_neram_road,10,Upper Neram Road_Cam4_20260106_080542_923_C.jpeg,,100.981,95.611,96.0,11.041,0.625,1.0
upper_neram_road,11,Upper Neram Road_Cam4_20260106_080547_128_C.jpeg,,110.182,105.581,106.0,10.991,,
upper_neram_road,12,Upper Neram Road_Cam4_20260106_080550_733_C.jpeg,,119.878,115.03,116.0,11.041,,
upper_neram_road,13,Upper Neram Road_Cam4_20260106_080559_745_C.jpeg,,130.303,125.091,126.0,10.958,,
upper_neram_road,14,Upper Neram Road_Cam4_20260106_080605_750_C.jpeg,,140.366,135.334,136.0,10.925,0.0,1.0
upper_neram_road,15,Upper Neram Road_Cam4_20260106_080610_555_C.jpeg,,152.108,146.237,146.0,10.925,,
upper_neram_road,16,Upper Neram Road_Cam4_20260106_080615_963_C.jpeg,,160.08,156.094,156.0,11.761,,
upper_neram_road,17,Upper Neram Road_Cam4_20260106_080619_569_C.jpeg,,171.094,165.587,166.0,11.121,,
upper_neram_road,18,Upper Neram Road_Cam4_20260106_080624_252_C.jpeg,,191.713,181.404,182.0,10.675,-0.625,1.0
upper_neram_road,19,Upper Neram Road_Cam4_20260106_113709_050_C.jpeg,,199.631,195.672,196.0,10.675,0.0,1.0
upper_neram_road,20,Upper Neram Road_Cam4_20260106_113711_487_C.jpeg,,228.33,213.981,214.0,11.278,,
upper_neram_road,21,Upper Neram Road_Cam4_20260106_113719_959_C.jpeg,,272.823,250.576,250.0,10.871,,
upper_neram_road,22,Upper Neram Road_Cam4_20260106_113731_988_C.jpeg,,319.112,295.967,296.0,10.841,0.0,1.0
upper_neram_road,23,Upper Neram Road_Cam4_20260106_113745_254_C.jpeg,,328.347,323.729,324.0,12.868,,
upper_neram_road,24,Upper Neram Road_Cam4_20260106_113747_657_C.jpeg,,339.16,333.753,334.0,12.034,,
upper_neram_road,25,Upper Neram Road_Cam4_20260106_113750_660_C.jpeg,,385.173,362.166,362.0,12.955,,
