path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
walmer_drive,1,Walmer Drive_Cam4_20260203_092020_316_A.jpeg,,10.22,5.11,6.0,22.456,-7.316,1.0
walmer_drive,2,Walmer Drive_Cam4_20260203_092903_281_A.jpeg,,21.325,15.773,16.0,21.862,,
walmer_drive,3,Walmer Drive_Cam4_20260203_092910_490_A.jpeg,,32.128,26.727,26.0,22.642,,
walmer_drive,4,Walmer Drive_Cam4_20260203_092917_097_A.jpeg,,41.305,36.717,36.0,22.795,-4.302,1.0
walmer_drive,5,Walmer Drive_Cam4_20260203_092923_105_A.jpeg,,66.399,53.852,54.0,24.368,,
walmer_drive,6,Walmer Drive_Cam4_20260203_092939_927_A.jpeg,,98.798,82.599,82.0,23.605,,
walmer_drive,7,Walmer Drive_Cam4_20260203_093507_016_A.jpeg,,111.016,104.907,104.0,19.148,,
walmer_drive,8,Walmer Drive_Cam4_20260203_093513_022_A.jpeg,,134.237,122.627,122.0,18.188,-5.538,1.0
walmer_drive,9,Walmer Drive_Cam4_20260203_093519_632_A.jpeg,,146.379,140.308,140.0,17.202,-5.463,1.0
walmer_drive,10,Walmer Drive_Cam4_20260203_093524_440_A.jpeg,,157.15,151.764,152.0,16.534,,
walmer_drive,11,Walmer Drive_Cam4_20260203_093528_043_A.jpeg,,182.555,169.852,170.0,15.777,,
walmer_drive,12,Walmer Drive_Cam4_20260203_093537_556_A.jpeg,,190.513,186.534,186.0,14.854,-5.1,1.0
walmer_drive,13,Walmer Drive_Cam4_20260203_093540_565_A.jpeg,,215.668,203.091,204.0,14.513,,
walmer_drive,14,Walmer Drive_Cam4_20260203_093910_292_A.jpeg,,224.499,220.084,220.0,14.428,,
walmer_drive,15,Walmer Drive_Cam4_20260203_093912_585_A.jpeg,,251.987,238.243,238.0,12.73,,
walmer_drive,16,Walmer Drive_Cam4_20260203_093919_673_A.jpeg,,261.625,256.806,256.0,11.427,-3.881,1.0
walmer_drive,17,Walmer Drive_Cam4_20260203_093922_075_A.jpeg,,270.955,266.29,266.0,10.876,-5.694,1.0
walmer_drive,18,Walmer Drive_Cam4_20260203_093924_477_A.jpeg,,297.001,283.978,284.0,9.916,-5.775,1.0
walmer_drive,19,Walmer Drive_Cam4_20260203_093931_088_A.jpeg,,306.887,301.944,302.0,9.123,-3.625,1.0
walmer_drive,20,Walmer Drive_Cam4_20260203_093933_493_A.jpeg,,333.121,320.004,320.0,8.529,-2.281,1.0
walmer_drive,21,Walmer Drive_Cam4_20260203_093940_099_A.jpeg,,344.819,338.97,338.0,8.145,-1.35,1.0
walmer_drive,22,Walmer Drive_Cam4_20260203_093943_102_A.jpeg,,352.473,348.646,348.0,8.05,-0.113,1.0
walmer_drive,23,Walmer Drive_Cam4_20260203_093945_510_A.jpeg,,400.166,376.319,376.0,8.034,0.362,1.0
walmer_drive,24,Walmer Drive_Cam4_20260203_094002_216_A.jpeg,,407.157,403.661,404.0,8.196,0.612,1.0
walmer_drive,25,Walmer Drive_Cam4_20260203_094004_618_A.jpeg,,417.461,412.309,412.0,8.227,0.687,1.0
walmer_drive,26,Walmer Drive_Cam4_20260203_094008_223_A.jpeg,,427.381,422.421,422.0,8.358,,
walmer_drive,27,Walmer Drive_Cam4_20260203_094011_828_A.jpeg,,437.862,432.622,432.0,8.423,0.637,1.0
walmer_drive,28,Walmer Drive_Cam4_20260203_094015_432_A.jpeg,,462.974,450.418,450.0,8.651,2.125,1.0
walmer_drive,29,Walmer Drive_Cam4_20260203_094024_454_A.jpeg,,475.986,469.48,470.0,8.927,0.206,1.0
walmer_drive,30,Walmer Drive_Cam4_20260203_094028_663_A.jpeg,,481.648,478.817,478.0,9.01,1.131,1.0
walmer_drive,31,Walmer Drive_Cam4_20260203_094030_467_A.jpeg,,492.472,487.06,488.0,9.192,2.487,1.0
walmer_drive,32,Walmer Drive_Cam4_20260203_094034_076_A.jpeg,,520.756,506.614,506.0,9.654,,
walmer_drive,33,Walmer Drive_Cam4_20260203_094044_291_A.jpeg,,532.045,526.401,526.0,11.363,,
walmer_drive,34,Walmer Drive_Cam4_20260203_094048_494_A.jpeg,,541.592,536.819,536.0,10.696,1.59,1.0
