path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
wolskel_road,1,Wolskel Road_Cam4_20260112_081500_521_B.jpeg,,12.855,6.427,6.0,8.737,0.662,1.0
wolskel_road,2,Wolskel Road_Cam4_20260112_081505_926_B.jpeg,,36.794,24.824,24.0,9.059,,
wolskel_road,3,Wolskel Road_Cam4_20260112_081515_538_B.jpeg,,46.517,41.655,42.0,9.113,,
wolskel_road,4,Wolskel Road_Cam4_20260112_081519_141_B.jpeg,,60.155,53.336,54.0,9.101,,
wolskel_road,5,Wolskel Road_Cam4_20260112_081525_148_B.jpeg,,83.846,72.0,72.0,9.208,-0.55,1.0
wolskel_road,6,Wolskel Road_Cam4_20260112_081534_759_B.jpeg,,96.663,90.255,90.0,9.394,1.313,1.0
wolskel_road,7,Wolskel Road_Cam4_20260112_081540_162_B.jpeg,,104.243,100.453,100.0,9.459,0.869,1.0
wolskel_road,8,Wolskel Road_Cam4_20260112_081543_165_B.jpeg,,135.171,119.707,120.0,9.687,,
wolskel_road,9,Wolskel Road_Cam4_20260112_081606_598_B.jpeg,,159.036,147.103,148.0,11.07,,
wolskel_road,10,Wolskel Road_Cam4_20260112_081615_611_B.jpeg,,169.54,164.288,164.0,10.212,,
wolskel_road,11,Wolskel Road_Cam4_20260112_081621_019_B.jpeg,,208.778,189.159,190.0,10.401,,
wolskel_road,12,Wolskel Road_Cam4_20260112_081752_926_B.jpeg,,232.956,220.867,220.0,11.026,,
wolskel_road,13,Wolskel Road_Cam4_20260112_081801_937_B.jpeg,,243.69,238.323,238.0,10.617,1.978,1.0
wolskel_road,14,Wolskel Road_Cam4_20260112_081807_951_B.jpeg,,278.741,261.215,262.0,11.034,2.231,1.0
wolskel_road,15,Wolskel Road_Cam4_20260112_081828_375_B.jpeg,,289.01,283.876,284.0,12.279,,
wolskel_road,16,Wolskel Road_Cam4_20260112_081833_179_B.jpeg,,300.804,294.907,294.0,13.497,,
wolskel_road,17,Wolskel Road_Cam4_20260112_081840_398_B.jpeg,,324.723,312.764,312.0,13.062,,
wolskel_road,18,Wolskel Road_Cam4_20260112_081853_611_B.jpeg,,336.961,330.842,330.0,12.925,1.289,1.0
wolskel_road,19,Wolskel Road_Cam4_20260112_081900_218_B.jpeg,,343.682,340.321,340.0,13.04,,
wolskel_road,20,Wolskel Road_Cam4_20260112_081903_222_B.jpeg,,374.3,358.991,358.0,15.449,,
wolskel_road,21,Wolskel Road_Cam4_20260112_081917_037_B.jpeg,,386.156,380.228,380.0,15.862,,
wolskel_road,22,Wolskel Road_Cam4_20260112_081938_065_B.jpeg,,393.63,389.893,390.0,15.158,,
wolskel_road,23,Wolskel Road_Cam4_20260112_081946_479_B.jpeg,,422.348,407.989,408.0,16.229,,
wolskel_road,24,Wolskel Road_Cam4_20260112_082015_917_B.jpeg,,434.354,428.351,428.0,18.107,,
wolskel_road,25,Wolskel Road_Cam4_20260112_082031_534_B.jpeg,,457.151,445.753,446.0,19.007,,
wolskel_road,26,Wolskel Road_Cam4_20260112_082101_574_B.jpeg,,469.658,463.405,464.0,19.967,-6.644,1.0
wolskel_road,27,Wolskel Road_Cam4_20260112_082116_000_B.jpeg,,529.15,499.404,500.0,19.624,,
wolskel_road,28,Wolskel Road_Cam4_20260112_082813_558_B.jpeg,,541.981,535.566,536.0,21.64,,
wolskel_road,29,Wolskel Road_Cam4_20260112_082826_779_B.jpeg,,556.754,549.368,550.0,22.486,5.634,1.0
wolskel_road,30,Wolskel Road_Cam4_20260112_082913_639_B.jpeg,,568.731,562.743,562.0,22.92,-4.14,1.0
wolskel_road,31,Wolskel Road_Cam4_20260112_082917_846_B.jpeg,,575.31,572.02,572.0,22.55,,
wolskel_road,32,Wolskel Road_Cam4_20260112_082920_254_B.jpeg,,584.718,580.014,580.0,21.809,,
wolskel_road,33,Wolskel Road_Cam4_20260112_082923_858_B.jpeg,,621.501,603.11,604.0,19.807,,
wolskel_road,34,Wolskel Road_Cam4_20260112_082938_281_B.jpeg,,653.183,637.342,638.0,19.918,-1.815,1.0
wolskel_road,35,Wolskel Road_Cam4_20260112_082950_291_B.jpeg,,665.112,659.148,660.0,17.417,,
wolskel_road,36,Wolskel Road_Cam4_20260112_082955_697_B.jpeg,,688.484,676.798,676.0,16.406,-8.127,1.0
