path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
martin_road,1,Cam4_20251204_081149_780_C.jpeg,,12.658,6.329,,,,
martin_road,2,Cam4_20251204_081156_962_C.jpeg,,23.721,18.189,,,,
martin_road,3,Cam4_20251204_081201_770_C.jpeg,,60.799,42.26,,,,
martin_road,4,Cam4_20251204_081211_390_C.jpeg,,71.923,66.361,66.0,4.826,,
martin_road,5,Cam4_20251204_081216_796_C.jpeg,,147.009,109.466,110.0,5.766,,
martin_road,6,Cam4_20251204_081457_973_C.jpeg,,185.806,166.407,168.0,3.646,,
martin_road,7,Cam4_20251204_081825_709_C.jpeg,,196.114,190.96,190.0,3.292,,
martin_road,8,Cam4_20251204_081829_913_C.jpeg,,201.485,198.799,198.0,3.174,,
martin_road,9,Cam4_20251204_081832_315_C.jpeg,,214.018,207.751,208.0,2.503,,
martin_road,10,Cam4_20251204_081837_728_C.jpeg,,237.82,225.919,226.0,3.306,,
martin_road,11,Cam4_20251204_081904_767_C.jpeg,,346.903,292.362,292.0,4.612,,
martin_road,12,Cam4_20260107_083415_816_C.jpeg,,431.014,388.959,390.0,5.169,,
martin_road,13,Cam4_20260107_083514_123_C.jpeg,,523.42,477.217,478.0,2.804,,
martin_road,14,Cam4_20260107_084224_254_C.jpeg,,546.046,534.733,534.0,8.677,,
martin_road,15,Cam4_20260107_084233_267_C.jpeg,,559.193,552.619,552.0,6.916,,
martin_road,16,Cam4_20260107_084239_276_C.jpeg,,565.939,562.566,560.0,5.426,,
martin_road,17,Cam4_20260107_084242_880_C.jpeg,,576.167,571.053,,,,
