path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
upper_pickering_street,Upper Pickering Street,370.0,29516.386,29758.051,13.693,6.607,6.607,,,UPPER PICKERING STREET,16.93
upper_pickering_street,Upper Pickering Street,372.0,29515.428,29759.807,16.573,6.607,6.607,,,UPPER PICKERING STREET,16.016
upper_pickering_street,Upper Pickering Street,374.0,29514.471,29761.563,6.313,6.607,6.607,,,UPPER PICKERING STREET,15.102
upper_pickering_street,Upper Pickering Street,376.0,29513.513,29763.318,15.884,6.413,6.413,,,UPPER PICKERING STREET,14.188
upper_pickering_street,Upper Pickering Street,378.0,29512.555,29765.074,10.405,6.22,6.236,,,UPPER PICKERING STREET,13.274
upper_pickering_street,Upper Pickering Street,380.0,29511.598,29766.83,6.607,6.228,6.236,,,UPPER PICKERING STREET,12.36
upper_pickering_street,Upper Pickering Street,382.0,29510.64,29768.586,6.079,6.236,6.236,,,UPPER PICKERING STREET,11.446
upper_pickering_street,Upper Pickering Street,384.0,29511.203,29770.209,5.741,6.244,6.244,,,UPPER PICKERING STREET,9.787
upper_pickering_street,Upper Pickering Street,386.0,29512.45,29771.773,3.529,6.251,6.251,,,UPPER PICKERING STREET,7.793
upper_pickering_street,Upper Pickering Street,388.0,29513.697,29773.336,1.776,6.259,6.259,,,UPPER PICKERING STREET,5.799
upper_pickering_street,Upper Pickering Street,390.0,29514.944,29774.9,1.964,6.267,6.267,,,UPPER PICKERING STREET,3.805
upper_pickering_street,Upper Pickering Street,392.0,29516.191,29776.463,2.264,6.275,6.275,,,UPPER PICKERING STREET,1.811
upper_pickering_street,Upper Pickering Street,394.0,29516.045,29778.045,2.151,6.283,6.283,,,UPPER PICKERING STREET,0.584
upper_pickering_street,Upper Pickering Street,396.0,29514.84,29779.642,2.076,6.291,6.291,,,UPPER PICKERING STREET,0.059
upper_pickering_street,Upper Pickering Street,398.0,29513.635,29781.238,2.051,6.299,6.299,,,UPPER PICKERING STREET,0.702
upper_pickering_street,Upper Pickering Street,400.0,29512.43,29782.835,3.64,6.306,6.306,,,UPPER PICKERING STREET,1.374
upper_pickering_street,Upper Pickering Street,402.0,29511.226,29784.431,6.46,6.314,6.306,,,UPPER PICKERING STREET,2.19
upper_pickering_street,Upper Pickering Street,404.0,29510.021,29786.027,7.348,6.322,6.306,,,UPPER PICKERING STREET,3.007
upper_pickering_street,Upper Pickering Street,406.0,29508.747,29787.565,5.952,6.185,6.185,,,UPPER PICKERING STREET,3.738
upper_pickering_street,Upper Pickering Street,408.0,29507.371,29789.017,6.392,6.047,6.047,,,UPPER PICKERING STREET,4.345
upper_pickering_street,Upper Pickering Street,410.0,29505.996,29790.469,5.409,5.91,5.91,,,UPPER PICKERING STREET,4.953
upper_pickering_street,Upper Pickering Street,412.0,29504.64,29791.933,6.198,5.772,5.772,,,UPPER PICKERING STREET,5.58
